enabled	name	description	comment
1	anudeepND/whitelist	https://github.com/anudeepND/whitelist	qjz9zk
1	mmotti/regex	https://github.com/mmotti/pihole-regex	qjz7zk
1	mmotti/whitelist	https://github.com/mmotti/pihole-regex	qjz6zk
