2552552552,,1,,anudeepND/optional,,https://github.com/anudeepND/whitelist

# Roku TNT app: Failed to play videos
0,,z.cdn.turner.com,,1,,
0,,manifest.auditude.com,,1,,

# Refersion.com (affiliate marketing)
0,,cdn.refersion.com,,1,,
0,,refersion.com,,1,,
0,,www.refersion.com,,1,,

# Roku TV CW and NBC app
0,,cwtv-mrss-akamai.cwtv.com,,1,,
0,,cwtv-prod-elb.digitalsmiths.net,,1,,
0,,redirector.googlevideo.com,,1,,

# Samsung TVs Amazon Prime Video app
0,,time.samsungcloudsolution.com,,1,,

# Samsung smart TVs network issue
0,,cdn.samsungcloudsolution.com,,1,,

# SBS Online videos not playing
0,,www.sbs.com.au,,1,,
0,,sbs.com.au,,1,,
0,,api.sbs.com.au,,1,,
0,,media.sbs.com.au,,1,,
0,,resources.sbs.com.au,,1,,
0,,videocdn-sbs.akamaized.net,,1,,
0,,sbsvodns-vh.akamaihd.net,,1,,
0,,link.theplatform.com,,1,,
0,,e7065.e2.akamaiedge.net,,1,,
0,,a463.w10.akamai.net,,1,,
0,,a790.w16.akamai.net,,1,,

# Share buttons on websites
0,,dsms0mj1bbhn4.cloudfront.net,,1,,
0,,shareaholic.com,,1,,

# Sky Go (skygo.sky.de)
0,,assets.adobedtm.com,,1,,

# Spotify premium with Denon Heos speakers
# https://github.com/anudeepND/whitelist/issues/93
0,,mobile-ap.spotify.com,,1,,
0,,apresolve.spotify.com,,1,,
0,,upgrade.scdn.com,,1,,
0,,market.spotify.com,,1,,
0,,spclient.wg.spotify.com,,1,,
0,,audio-ake.spotify.com.edgesuite.net,,1,,

# Targets Weekly Ads
0,,weeklyad.target.com,,1,,
0,,m.weeklyad.target.com,,1,,
0,,weeklyad.target.com.edgesuite.net,,1,,

# UK University application website
# https://github.com/anudeepND/whitelist/issues/30
0,,track.ucas.com,,1,,

# URL shorteners
0,,adf.ly,,1,,
0,,www.adf.ly,,1,,
0,,bit.ly,,1,,
0,,www.bit.ly,,1,,
0,,goo.gl,,1,,
0,,ow.ly,,1,,
0,,www.ow.ly,,1,,
0,,amzn.to,,1,,
0,,amzn.com,,1,,

# Videos not playing on  arstechnica/wired/vogue/newyorker
# Note: ads before videos may appear after whitelisting this domain
0,,d2c8v52ll5s99u.cloudfront.net,,1,,

# Videos not playing on www.jacquielawson.com
0,,f1.media.brightcove.com,,1,,

0,,# WatchESPN
0,,fpdownload.adobe.com,,1,,
0,,entitlement.auth.adobe.com,,1,,
0,,livepassdl.conviva.com,,1,,

# Xbox Achievements and game stats sync
0,,v10.events.data.microsoft.com,,1,,
0,,v20.events.data.microsoft.com,,1,,

# streamelements.com (Blocked by Pi-hole regex)
0,,stats.streamelements.com,,1,,

# Adobe licence verification endpoints
0,,lm.licenses.adobe.com,,1,,
0,,activate.adobe.com,,1,,
