enabled	name	description	comment	file
1	anudeepND/whitelist	https://github.com/anudeepND/whitelist	qjz9zk	anudeepND_whitelist.tsv
1	mmotti/regex	https://github.com/mmotti/pihole-regex	qjz7zk	mmotti_regex.tsv
1	mmotti/whitelist	https://github.com/mmotti/pihole-regex	qjz6zk	mmotti_whitelist.tsv
